Epoch: 600| It: 0| Loss: 1.559e-02| physLoss: 3.386e-03 | lINITIAL: 1.635e-03 | wLoss: 8.954e-03 | inLoss: 1.610e-03 | outLoss: 4.366e-06 |Time: 0.00s | rTime: 5.945e-02h | LR: 5.000e-03
Epoch: 610| It: 0| Loss: 1.555e-02| physLoss: 3.180e-03 | lINITIAL: 2.159e-03 | wLoss: 8.360e-03 | inLoss: 1.823e-03 | outLoss: 2.530e-05 |Time: 0.00s | rTime: 6.043e-02h | LR: 5.000e-03
Epoch: 620| It: 0| Loss: 1.555e-02| physLoss: 3.028e-03 | lINITIAL: 2.170e-03 | wLoss: 9.031e-03 | inLoss: 1.309e-03 | outLoss: 6.986e-06 |Time: 0.00s | rTime: 6.141e-02h | LR: 5.000e-03
Epoch: 630| It: 0| Loss: 1.549e-02| physLoss: 3.089e-03 | lINITIAL: 2.134e-03 | wLoss: 8.584e-03 | inLoss: 1.664e-03 | outLoss: 1.618e-05 |Time: 0.00s | rTime: 6.235e-02h | LR: 5.000e-03
Epoch: 640| It: 0| Loss: 1.547e-02| physLoss: 3.177e-03 | lINITIAL: 1.803e-03 | wLoss: 8.796e-03 | inLoss: 1.650e-03 | outLoss: 4.303e-05 |Time: 0.00s | rTime: 6.327e-02h | LR: 5.000e-03
Epoch: 650| It: 0| Loss: 1.543e-02| physLoss: 3.209e-03 | lINITIAL: 1.751e-03 | wLoss: 8.699e-03 | inLoss: 1.712e-03 | outLoss: 5.509e-05 |Time: 0.00s | rTime: 6.422e-02h | LR: 5.000e-03
Epoch: 660| It: 0| Loss: 1.541e-02| physLoss: 3.145e-03 | lINITIAL: 1.841e-03 | wLoss: 8.911e-03 | inLoss: 1.477e-03 | outLoss: 4.027e-05 |Time: 0.00s | rTime: 6.528e-02h | LR: 5.000e-03
Epoch: 670| It: 0| Loss: 1.537e-02| physLoss: 3.104e-03 | lINITIAL: 1.998e-03 | wLoss: 8.501e-03 | inLoss: 1.741e-03 | outLoss: 2.636e-05 |Time: 0.00s | rTime: 6.642e-02h | LR: 5.000e-03
Epoch: 680| It: 0| Loss: 1.533e-02| physLoss: 3.090e-03 | lINITIAL: 1.815e-03 | wLoss: 8.855e-03 | inLoss: 1.554e-03 | outLoss: 1.564e-05 |Time: 0.00s | rTime: 6.748e-02h | LR: 5.000e-03
Epoch: 690| It: 0| Loss: 1.532e-02| physLoss: 3.161e-03 | lINITIAL: 1.856e-03 | wLoss: 8.534e-03 | inLoss: 1.755e-03 | outLoss: 1.186e-05 |Time: 0.00s | rTime: 6.844e-02h | LR: 5.000e-03
Epoch: 700| It: 0| Loss: 1.530e-02| physLoss: 3.168e-03 | lINITIAL: 1.764e-03 | wLoss: 8.784e-03 | inLoss: 1.540e-03 | outLoss: 3.807e-05 |Time: 0.00s | rTime: 6.950e-02h | LR: 5.000e-03
Epoch: 710| It: 0| Loss: 1.526e-02| physLoss: 3.207e-03 | lINITIAL: 1.789e-03 | wLoss: 8.628e-03 | inLoss: 1.627e-03 | outLoss: 7.707e-06 |Time: 0.00s | rTime: 7.053e-02h | LR: 5.000e-03
Epoch: 720| It: 0| Loss: 1.524e-02| physLoss: 3.134e-03 | lINITIAL: 1.720e-03 | wLoss: 8.858e-03 | inLoss: 1.518e-03 | outLoss: 9.839e-06 |Time: 0.00s | rTime: 7.156e-02h | LR: 5.000e-03
Epoch: 730| It: 0| Loss: 1.523e-02| physLoss: 3.064e-03 | lINITIAL: 1.864e-03 | wLoss: 8.604e-03 | inLoss: 1.682e-03 | outLoss: 1.581e-05 |Time: 0.00s | rTime: 7.261e-02h | LR: 5.000e-03
Epoch: 740| It: 0| Loss: 1.519e-02| physLoss: 2.925e-03 | lINITIAL: 1.942e-03 | wLoss: 8.862e-03 | inLoss: 1.449e-03 | outLoss: 1.012e-05 |Time: 0.00s | rTime: 7.354e-02h | LR: 5.000e-03
Epoch: 750| It: 0| Loss: 1.517e-02| physLoss: 2.898e-03 | lINITIAL: 2.018e-03 | wLoss: 8.648e-03 | inLoss: 1.600e-03 | outLoss: 1.069e-05 |Time: 0.00s | rTime: 7.450e-02h | LR: 5.000e-03
Epoch: 760| It: 0| Loss: 1.516e-02| physLoss: 2.864e-03 | lINITIAL: 1.854e-03 | wLoss: 8.807e-03 | inLoss: 1.613e-03 | outLoss: 2.227e-05 |Time: 0.00s | rTime: 7.537e-02h | LR: 5.000e-03
Epoch: 770| It: 0| Loss: 1.513e-02| physLoss: 2.847e-03 | lINITIAL: 1.828e-03 | wLoss: 8.684e-03 | inLoss: 1.759e-03 | outLoss: 1.710e-05 |Time: 0.00s | rTime: 7.629e-02h | LR: 5.000e-03
Epoch: 780| It: 0| Loss: 1.511e-02| physLoss: 2.765e-03 | lINITIAL: 1.874e-03 | wLoss: 8.784e-03 | inLoss: 1.677e-03 | outLoss: 1.318e-05 |Time: 0.00s | rTime: 7.725e-02h | LR: 5.000e-03
Epoch: 790| It: 0| Loss: 1.511e-02| physLoss: 2.743e-03 | lINITIAL: 1.946e-03 | wLoss: 8.635e-03 | inLoss: 1.776e-03 | outLoss: 1.309e-05 |Time: 0.00s | rTime: 7.821e-02h | LR: 5.000e-03
Epoch: 800| It: 0| Loss: 1.509e-02| physLoss: 2.745e-03 | lINITIAL: 1.818e-03 | wLoss: 8.780e-03 | inLoss: 1.733e-03 | outLoss: 8.818e-06 |Time: 0.00s | rTime: 7.912e-02h | LR: 5.000e-03
Epoch: 810| It: 0| Loss: 1.507e-02| physLoss: 2.793e-03 | lINITIAL: 1.799e-03 | wLoss: 8.618e-03 | inLoss: 1.852e-03 | outLoss: 7.339e-06 |Time: 0.00s | rTime: 8.012e-02h | LR: 5.000e-03
Epoch: 820| It: 0| Loss: 1.505e-02| physLoss: 2.796e-03 | lINITIAL: 1.832e-03 | wLoss: 8.668e-03 | inLoss: 1.745e-03 | outLoss: 1.268e-05 |Time: 0.00s | rTime: 8.106e-02h | LR: 5.000e-03
Epoch: 830| It: 0| Loss: 1.503e-02| physLoss: 2.790e-03 | lINITIAL: 1.874e-03 | wLoss: 8.710e-03 | inLoss: 1.653e-03 | outLoss: 5.999e-06 |Time: 0.00s | rTime: 8.200e-02h | LR: 5.000e-03
Epoch: 840| It: 0| Loss: 1.501e-02| physLoss: 2.801e-03 | lINITIAL: 1.892e-03 | wLoss: 8.599e-03 | inLoss: 1.711e-03 | outLoss: 7.523e-06 |Time: 0.00s | rTime: 8.294e-02h | LR: 5.000e-03
Epoch: 850| It: 0| Loss: 1.500e-02| physLoss: 2.812e-03 | lINITIAL: 1.878e-03 | wLoss: 8.641e-03 | inLoss: 1.658e-03 | outLoss: 9.093e-06 |Time: 0.00s | rTime: 8.388e-02h | LR: 5.000e-03
Epoch: 860| It: 0| Loss: 1.498e-02| physLoss: 2.827e-03 | lINITIAL: 1.888e-03 | wLoss: 8.651e-03 | inLoss: 1.601e-03 | outLoss: 9.803e-06 |Time: 0.00s | rTime: 8.491e-02h | LR: 5.000e-03
Epoch: 870| It: 0| Loss: 1.496e-02| physLoss: 2.834e-03 | lINITIAL: 1.871e-03 | wLoss: 8.632e-03 | inLoss: 1.608e-03 | outLoss: 1.063e-05 |Time: 0.00s | rTime: 8.595e-02h | LR: 5.000e-03
Epoch: 880| It: 0| Loss: 1.494e-02| physLoss: 2.843e-03 | lINITIAL: 1.871e-03 | wLoss: 8.507e-03 | inLoss: 1.705e-03 | outLoss: 9.529e-06 |Time: 0.00s | rTime: 8.687e-02h | LR: 5.000e-03
Epoch: 890| It: 0| Loss: 1.491e-02| physLoss: 2.798e-03 | lINITIAL: 1.855e-03 | wLoss: 8.664e-03 | inLoss: 1.586e-03 | outLoss: 9.850e-06 |Time: 0.00s | rTime: 8.772e-02h | LR: 5.000e-03
Epoch: 900| It: 0| Loss: 1.489e-02| physLoss: 2.807e-03 | lINITIAL: 1.919e-03 | wLoss: 8.484e-03 | inLoss: 1.673e-03 | outLoss: 1.172e-05 |Time: 0.00s | rTime: 8.870e-02h | LR: 5.000e-03
Epoch: 910| It: 0| Loss: 1.487e-02| physLoss: 2.821e-03 | lINITIAL: 1.819e-03 | wLoss: 8.589e-03 | inLoss: 1.633e-03 | outLoss: 1.166e-05 |Time: 0.00s | rTime: 8.959e-02h | LR: 5.000e-03
Epoch: 920| It: 0| Loss: 1.485e-02| physLoss: 2.860e-03 | lINITIAL: 1.774e-03 | wLoss: 8.509e-03 | inLoss: 1.698e-03 | outLoss: 1.190e-05 |Time: 0.00s | rTime: 9.057e-02h | LR: 5.000e-03
Epoch: 930| It: 0| Loss: 1.483e-02| physLoss: 2.839e-03 | lINITIAL: 1.819e-03 | wLoss: 8.534e-03 | inLoss: 1.625e-03 | outLoss: 1.425e-05 |Time: 0.00s | rTime: 9.151e-02h | LR: 5.000e-03
Epoch: 940| It: 0| Loss: 1.481e-02| physLoss: 2.811e-03 | lINITIAL: 1.894e-03 | wLoss: 8.520e-03 | inLoss: 1.574e-03 | outLoss: 1.082e-05 |Time: 0.00s | rTime: 9.244e-02h | LR: 5.000e-03
Epoch: 950| It: 0| Loss: 1.479e-02| physLoss: 2.819e-03 | lINITIAL: 1.900e-03 | wLoss: 8.451e-03 | inLoss: 1.608e-03 | outLoss: 1.145e-05 |Time: 0.00s | rTime: 9.342e-02h | LR: 5.000e-03
Epoch: 960| It: 0| Loss: 1.477e-02| physLoss: 2.839e-03 | lINITIAL: 1.851e-03 | wLoss: 8.494e-03 | inLoss: 1.571e-03 | outLoss: 1.261e-05 |Time: 0.00s | rTime: 9.431e-02h | LR: 5.000e-03
Epoch: 970| It: 0| Loss: 1.475e-02| physLoss: 2.872e-03 | lINITIAL: 1.837e-03 | wLoss: 8.464e-03 | inLoss: 1.563e-03 | outLoss: 1.190e-05 |Time: 0.00s | rTime: 9.531e-02h | LR: 5.000e-03
